일련번호,설교일,예배종류,성경본문,추가본문,설교제목,설교 요약,메모,설교록정보,파일코드
7260,1963-10-20,주일오후,시 91:1-16,,,,원문없음,,1963102002
7261,1963-10-27,주일오후,렘 5:1-6,,,,원문없음,,1963102702
7262,1964-02-02,주일오후,계 14:13,,,,원문없음,,1964020202
7263,1964-02-16,주일오후,계 1:3,,,,원문없음,,1964021602
7264,1964-02-23,주일오후,사 1:16,,,,원문없음,,1964022302
7265,1964-03-01,주일오후,잠 4:1-7,,,,원문없음,,1964030102
7266,1964-04-14,주일오후,롬 8:5-11,,,,원문없음,,1964041402
7267,1964-05-03,주일오후,마 24:42-51,,,,원문없음,,1964050302
7268,1964-08-30,주일오후,계 2:8-11,,,,원문없음,,1964083002
7269,1964-09-06,주일오후,마 24:16-28,,,,원문없음,,1964090602
7270,1964-09-13,주일오후,약 1:1-5,,,,원문없음,,1964091302
7271,1964-10-04,주일오후,마 3:2,"마태복음03:02,06-12",,,원문없음,,1964100402
7272,1964-10-11,주일오후,요 9:16,"요한복음09:16,21-22,34",,,원문없음,,1964101102
7273,1964-10-18,주일오후,마 4:17-25,,,,원문없음,,1964101802
7274,1964-10-25,주일오후,마 5:1-8,,,,원문없음,,1964102502
7275,1964-11-01,주일오후,마 4:11,,,,원문없음,,1964110102
7276,1964-11-15,주일오후,행 3:1-15,,,,원문없음,,1964111502
7277,1964-12-20,주일오후,,,,,원문없음,,1964122002
7278,1964-12-27,주일오후,요일 3:1-3,요한1서03:01-03,,,원문없음,,1964122702
7279,1965-01-03,주일오후,마 5:3-8,"마태복음05:03,06,08",,,원문없음,,1965010302
7280,1965-01-17,주일오후,마 8:5-13,,,,원문없음,,1965011702
7281,1965-01-31,주일오후,마 11:25-26,,,,원문없음,,1965013102
7282,1965-02-07,주일오후,마 6:31-34,,,,원문없음,,1965020702
7283,1965-02-21,주일오후,고전 15:50-58,,,,원문없음,,1965022102
7284,1965-02-28,주일오후,약 2:1,,,,원문없음,,1965022802
7285,1965-03-07,주일오후,갈 5:13-15,,,,원문없음,,1965030702
7286,1965-03-21,주일오후,마 15:1-39,,,,원문없음,,1965032102
7287,1965-03-28,주일오후,마 16:13-20,,,,원문없음,,1965032802
7288,1965-04-11,주일오후,롬 4:1,,,,원문없음,,1965041102
7289,1965-05-02,주일오후,약 4:1,,,,원문없음,,1965050202
7290,1965-05-09,주일오후,눅 5:15-16,,,,원문없음,,1965050902
7291,1965-05-16,주일오후,요 1:1-17,"요한복음01:01-17,03:01-10",,,원문없음,,1965051602
7292,1965-05-23,주일오후,롬 4:,,,,원문없음,,1965052302
7293,1965-05-30,주일오후,계 3:14-22,,,,원문없음,,1965053002
7294,1966-01-09,주일오후,,,,,원문없음,,1966010902
7295,1966-01-16,주일오후,시 2:1,,제목없음,,,,1966011602
7296,1966-03-08,주일오후,잠 12:4-5,,,,원문없음,,1966030802
7297,1966-03-29,주일오후,벧전 2:1,,,,원문없음,,1966032902
7298,1966-06-12,주일오후,요 2:1-11,,,,원문없음,,1966061202
7299,1966-08-14,주일오후,눅 7:,,,,원문없음,,1966081402
7300,1966-09-04,주일오후,막 1:,,,,원문없음,,1966090402
7301,1967-01-29,주일오후,요 14:1-7,,,,원문없음,,1967012902
7302,1967-02-05,주일오후,딤후 3:1-7,,,,원문없음,,1967020502
7303,1967-02-12,주일오후,잠 10:5,,,,원문없음,,1967021202
7304,1967-03-12,주일오후,잠 11:14,,,,원문없음,,1967031202
7305,1967-03-19,주일오후,잠 11:24,,,,원문없음,,1967031902
7306,1967-04-09,주일오후,시 91:1,끝절까지,,,원문없음,,1967040902
7307,1967-04-16,주일오후,마 7:7-12,,,,원문없음,,1967041602
7308,1967-05-28,주일오후,시 26:1-5,,,,원문없음,,1967052802
7309,1967-06-04,주일오후,엡 4:1-16,,,,원문없음,,1967060402
7310,1967-06-11,주일오후,벧전 4:7,,,,원문없음,,1967061102
7311,1967-06-18,주일오후,마 1:35,,기도에 대하여,,,,1967061802
7312,1967-06-18,주일오후,요 11:40-43,,기도에 대하여,,,,1967061802
7313,1967-06-25,주일오후,계 15:2-4,,,,원문없음,,1967062502
7314,1967-07-02,주일오후,계 14:1-20,,,,원문없음,,1967070202
7315,1967-07-09,주일오후,마 15:1-39,,,,원문없음,,1967070902
7316,1967-07-16,주일오후,갈 5:13-26,,,,원문없음,,1967071602
7317,1967-07-23,주일오후,마 20:20-28,,,,원문없음,,1967072302
7318,1967-09-24,주일오후,삿 31:1-9,,,,원문없음,,1967092402
7319,1967-10-22,주일오후,마 6:1-34,,,,원문없음,,1967102202
7320,1967-11-05,주일오후,요일 3:1-8,요한1서03:01-08,,,원문없음,,1967110502
7321,1967-11-05,주일오후,,,,,원문없음,,1967110502
7322,1967-12-10,주일오후,빌 1:20-30,,,,원문없음,,1967121002
7323,1967-12-17,주일오후,엡 4:8,,,,원문없음,,1967121702
7324,1967-12-31,주일오후,눅 16:1-13,,,,원문없음,,1967123102
7325,1968-01-07,주일오후,마 5:14-16,,,,원문없음,,1968010702
7326,1968-01-14,주일오후,갈 5:13-26,,,,원문없음,,1968011402
7327,1968-01-21,주일오후,요 15:1,,,,원문없음,,1968012102
7328,1968-01-28,주일오후,사 53:12,,,,원문없음,,1968012802
7329,1968-02-04,주일오후,히 11:5,,,,원문없음,,1968020402
7330,1968-02-11,주일오후,눅 21:34,,,,원문없음,,1968021102
7331,1968-02-18,주일오후,시 71:14-16,,,,원문없음,,1968021802
7332,1968-02-25,주일오후,눅 5:1-11,,,,원문없음,,1968022502
7333,1968-03-03,주일오후,눅 5:1-11,,제목없음,,,,1968030302
7334,1968-03-10,주일오후,고전 15:29-49,,,,원문없음,,1968031002
7335,1968-03-17,주일오후,아 4:9-16,,,,원문없음,,1968031702
7336,1968-03-24,주일오후,고전 5:1-7,,,,원문없음,,1968032402
7337,1968-03-31,주일오후,신 6:1-25,,,,원문없음,,1968033102
7338,1968-04-07,주일오후,벧전 5:1,,,,원문없음,,1968040702
7339,1968-04-14,주일오후,,,,,원문없음,,1968041402
7340,1968-04-21,주일오후,마 13:,,,,원문없음,,1968042102
7341,1968-04-28,주일오후,엡 2:1-7,,,,원문없음,,1968042802
7342,1968-05-05,주일오후,요 15:1-4,,,,원문없음,,1968050502
7343,1968-05-12,주일오후,갈 5:16-26,,,,원문없음,,1968051202
7344,1968-05-19,주일오후,갈 5:16-26,,,,원문없음,,1968051902
7345,1968-05-26,주일오후,갈 5:16-26,,,,원문없음,,1968052602
7346,1968-07-21,주일오후,,,,,원문없음,,1968072102
7347,1968-08-04,주일오후,약 1:12,,,,원문없음,,1968080402
7348,1968-11-03,주일오후,약 5:7-11,,,,원문없음,,1968110302
7349,1968-11-10,주일오후,마 6:,,,,원문없음,,1968111002
7350,1969-01-19,주일오후,출 14:1-31,,,,원문없음,,1969011902
7351,1969-01-26,주일오후,요일 3:1-10,요한1서03:01-10,,,원문없음,,1969012602
7352,1969-02-02,주일오후,마 25:1-13,,,,원문없음,,1969020202
7353,1969-02-09,주일오후,눅 17:7-10,,,,원문없음,,1969020902
7354,1969-02-23,주일오후,요 15:1-11,,,,원문없음,,1969022302
7355,1969-03-02,주일오후,고전 1:18,,,,원문없음,,1969030202
7356,1969-03-09,주일오후,계 2:17,"요한계시록02:17,03:12-13",,,원문없음,,1969030902
7357,1969-03-09,주일오후,시 17:,,,,원문없음,,1969030902
7358,1969-03-16,주일오후,마 11:28-30,,,,원문없음,,1969031602
7359,1969-03-23,주일오후,출 13:14,,,,원문없음,,1969032302
7360,1969-03-30,주일오후,벧전 5:7-11,,,,원문없음,,1969033002
7361,1969-05-04,주일오후,시 91:1-16,,,,원문없음,,1969050402
7362,1969-05-11,주일오후,고전 14:50-58,,,,원문없음,,1969051102
7363,1969-05-25,주일오후,계 7:13-17,,,,원문없음,,1969052502
7364,1969-08-24,주일오후,롬 12:1,끝절까지,,,원문없음,,1969082402
7365,1969-08-31,주일오후,약 2:1,끝절까지,,,원문없음,,1969083102
7366,1969-09-07,주일오후,암 5:1-6,,,,원문없음,,1969090702
7367,1969-09-14,주일오후,겔 1:,,,,원문없음,,1969091402
7368,1969-10-05,주일오후,엡 4:25-32,,,,원문없음,,1969100502
7369,1969-10-12,주일오후,엡 5:15,,,,원문없음,,1969101202
7370,1969-10-19,주일오후,딤후 3:12-17,,,,원문없음,,1969101902
7371,1969-10-26,주일오후,딤후 3:16,,,,원문없음,,1969102602
7372,1970-01-11,주일오후,계 3:9-11,,,,원문없음,,1970011102
7373,1970-01-18,주일오후,유 1:15,,,,원문없음,,1970011802
7374,1970-01-25,주일오후,유 1:14-15,,,,원문없음,,1970012502
7375,1970-02-01,주일오후,렘 2:14,,,,원문없음,,1970020102
7376,1970-02-08,주일오후,렘 42:1,,,,원문없음,,1970020802
7377,1970-02-15,주일오후,눅 16:1-13,,,,원문없음,,1970021502
7378,1970-02-22,주일오후,시 1:1-6,,,,원문없음,,1970022202
7379,1970-03-01,주일오후,마 25:25-31,,,,원문없음,,1970030102
7380,1970-03-08,주일오후,단 12:1-13,,,,원문없음,,1970030802
7381,1970-03-15,주일오후,마 7:7-12,,,,원문없음,,1970031502
7382,1970-03-22,주일오후,마 20:22-28,,,,원문없음,,1970032202
7383,1970-03-29,주일오후,히 12:2,,,,원문없음,,1970032902
7384,1970-04-05,주일오후,벧전 1:3-12,,,,원문없음,,1970040502
7385,1970-04-19,주일오후,엡 4:13-16,,,,원문없음,,1970041902
7386,1970-04-26,주일오후,요 4:10-14,,,,원문없음,,1970042602
7387,1970-05-17,주일오후,,,,,원문없음,,1970051702
7388,1970-05-24,주일오후,마 6:5-13,,,,원문없음,,1970052402
7389,1970-06-21,주일오후,히 11:17,,,,원문없음,,1970062102
7390,1970-06-28,주일오후,계 3:17-22,,,,원문없음,,1970062802
7391,1970-07-05,주일오후,엡 4:17-24,,,,원문없음,,1970070502
7392,1970-07-12,주일오후,마 24:35-51,,,,원문없음,,1970071202
7393,1970-07-19,주일오후,약 1:1-27,,,,원문없음,,1970071902
7394,1970-07-26,주일오후,빌 1:20,,,,원문없음,,1970072602
7395,1970-08-02,주일오후,눅 21:10,,,,원문없음,,1970080202
7396,1970-08-09,주일오후,마 5:13-16,,,,원문없음,,1970080902
7397,1970-08-16,주일오후,삿 26:20-21,,,,원문없음,,1970081602
7398,1970-08-30,주일오후,마 16:21-28,,,,원문없음,,1970083002
7399,1970-09-06,주일오후,눅 16:8-13,,,,원문없음,,1970090602
7400,1970-09-13,주일오후,마 5:8,,,,원문없음,,1970091302
7401,1970-09-20,주일오후,마 4:1-4,,,,원문없음,,1970092002
7402,1970-09-27,주일오후,신 28:20,,,,원문없음,,1970092702
7403,1970-10-04,주일오후,딤전 4:1-5,,,,원문없음,,1970100402
7404,1970-10-11,주일오후,요 1:1-18,,,,원문없음,,1970101102
7405,1970-10-18,주일오후,롬 8:1-8,,,,원문없음,,1970101802
7406,1970-10-25,주일오후,고전 7:29-35,,,,원문없음,,1970102502
7407,1970-11-01,주일오후,빌 3:1-21,,,,원문없음,,1970110102
7408,1970-11-08,주일오후,벧전 1:5-7,,,,원문없음,,1970110802
7409,1970-11-15,주일오후,전 1:2-15,,,,원문없음,,1970111502
7410,1970-11-29,주일오후,말 3:13-18,,,,원문없음,,1970112902
7411,1970-12-13,주일오후,마 5:1-12,,,,원문없음,,1970121302
7412,1970-12-27,주일오후,요일 4:7-21,요한1서04:07-21,,,원문없음,,1970122702
7413,1971-01-31,주일오후,엡 5:22-33,,,,원문없음,,1971013102
7414,1971-02-07,주일오후,마 5:21-26,,,,원문없음,,1971020702
7415,1971-02-14,주일오후,눅 5:1-11,,,,원문없음,,1971021402
7416,1971-03-14,주일오후,롬 8:1-11,,,,원문없음,,1971031402
7417,1971-03-28,주일오후,히 12:1,,,,원문없음,,1971032802
7418,1971-04-04,주일오후,요 11:25,,,,원문없음,,1971040402
7419,1971-04-11,주일오후,눅 12:13-21,,,,원문없음,,1971041102
7420,1971-04-18,주일오후,엡 3:,,,,원문없음,,1971041802
7421,1971-04-18,주일오후,욜 1:19,,,,원문없음,,1971041802
7422,1971-04-25,주일오후,살전 5:1,,,,원문없음,,1971042502
7423,1971-05-02,주일오후,마 25:1-46,,,,원문없음,,1971050202
7424,1971-05-16,주일오후,마 10:24-43,,,,원문없음,,1971051602
7425,1971-05-30,주일오후,요 13:31-33,,,,원문없음,,1971053002
7426,1971-06-13,주일오후,눅 2:13-14,,,,원문없음,,1971061302
7427,1971-06-20,주일오후,고전 15:42-49,,,,원문없음,,1971062002
7428,1971-06-27,주일오후,막 10:21,,,,원문없음,,1971062702
7429,1971-07-04,주일오후,막 10:17-31,,,,원문없음,,1971070402
7430,1971-07-11,주일오후,눅 5:1-11,,,,원문없음,,1971071102
7431,1971-07-25,주일오후,눅 15:11-24,,,,원문없음,,1971072502
7432,1971-08-22,주일오후,딤전 6:7-21,,,,원문없음,,1971082202
7433,1971-08-29,주일오후,마 13:31-33,,,,원문없음,,1971082902
7434,1971-09-05,주일오후,마 3:1-12,,,,원문없음,,1971090502
7435,1971-09-12,주일오후,엡 4:17-24,,,,원문없음,,1971091202
7436,1971-09-26,주일오후,요 14:7,,,,원문없음,,1971092602
7437,1971-10-03,주일오후,롬 5:1,,,,원문없음,,1971100302
7438,1971-10-10,주일오후,계 8:3-5,,,,원문없음,,1971101002
7439,1971-10-17,주일오후,빌 2:1-11,,,,원문없음,,1971101702
7440,1971-10-24,주일오후,벧후 3:8,,,,원문없음,,1971102402
7441,1971-10-31,주일오후,고전 15:29-34,,,,원문없음,,1971103102
7442,1971-11-07,주일오후,빌 1:27-30,,,,원문없음,,1971110702
7443,1971-11-14,주일오후,계 17:1-18,,,,원문없음,,1971111402
7444,1971-11-21,주일오후,요일 2:12-17,요한1서02:12-17,,,원문없음,,1971112102
7445,1971-11-28,주일오후,출 34:21-27,,제목없음,,,,1971112802
7446,1971-12-05,주일오후,마 7:15-27,,,,원문없음,,1971120502
7447,1971-12-12,주일오후,마 26:40,,,,원문없음,,1971121202
7448,1972-01-09,주일오후,벧전 1:3,,,,원문없음,,1972010902
7449,1972-01-16,주일오후,요 17:1-5,,,,원문없음,,1972011602
7450,1972-01-30,주일오후,마 25:1-13,,,,원문없음,,1972013002
7451,1972-02-06,주일오후,요 14:1-3,,,,원문없음,,1972020602
7452,1972-02-13,주일오후,벧전 1:17,,,,원문없음,,1972021302
7453,1972-02-20,주일오후,눅 15:3-7,,,,원문없음,,1972022002
7454,1972-03-12,주일오후,눅 15:8-10,,,,원문없음,,1972031202
7455,1972-03-19,주일오후,벧전 1:13-17,,,,원문없음,,1972031902
7456,1972-04-02,주일오후,욜 1:15-23,,,,원문없음,,1972040202
7457,1972-04-09,주일오후,눅 17:5-6,,,,원문없음,,1972040902
7458,1972-04-16,주일오후,요 16:33,요한복음16:33-17:05,,,원문없음,,1972041602
7459,1972-04-30,주일오후,요 9:39-41,,,,원문없음,,1972043002
7460,1972-05-07,주일오후,창 14:17,창세기14:17-15:01,,,원문없음,,1972050702
7461,1972-05-14,주일오후,창 13:14,창세기13-14:17-19,,,원문없음,,1972051402
7462,1972-05-21,주일오후,요 6:27-29,,,,원문없음,,1972052102
7463,1972-05-28,주일오후,행 3:1-26,,,,원문없음,,1972052802
7464,1972-06-11,주일오후,요 5:1-18,,,,원문없음,,1972061102
7465,1972-06-18,주일오후,히 12:22-25,,,,원문없음,,1972061802
7466,1972-06-25,주일오후,막 12:1,,,,원문없음,,1972062502
7467,1972-07-02,주일오후,창 2:8-17,,,,원문없음,,1972070202
7468,1972-07-09,주일오후,시 1:12,,,,원문없음,,1972070902
7469,1972-07-16,주일오후,엡 4:13-16,,,,원문없음,,1972071602
7470,1972-07-23,주일오후,계 17:,요한계시록17:-18:23,,,원문없음,,1972072302
7471,1972-08-13,주일오후,히 12:1,,,,원문없음,,1972081302
7472,1972-10-01,주일오후,계 2:17,,,,원문없음,,1972100102
7473,1972-10-08,주일오후,요 21:,,,,원문없음,,1972100802
7474,1972-10-15,주일오후,계 2:18-29,,,,원문없음,,1972101502
7475,1972-10-22,주일오후,마 16:13-28,,,,원문없음,,1972102202
7476,1972-10-29,주일오후,,,,,원문없음,,1972102902
7477,1972-11-05,주일오후,계 3:7,,,,원문없음,,1972110502
7478,1972-11-12,주일오후,,,,,원문없음,,1972111202
7479,1972-11-19,주일오후,출 23:14-17,,,,원문없음,,1972111902
7480,1972-11-26,주일오후,계 3:7-13,,,,원문없음,,1972112602
7481,1972-12-03,주일오후,아 4:,,,,원문없음,,1972120302
7482,1972-12-10,주일오후,창 17:9,,,,원문없음,,1972121002
7483,1972-12-17,주일오후,요일 3:1-10,요한1서03:01-10,,,원문없음,,1972121702
7484,1972-12-24,주일오후,눅 2:13-14,,,,원문없음,,1972122402
7485,1973-01-07,주일오후,눅 12:6,,,,원문없음,,1973010702
7486,1973-01-14,주일오후,눅 12:,,,,원문없음,,1973011402
7487,1973-01-21,주일오후,요 15:9-11,,,,원문없음,,1973012102
7488,1973-01-28,주일오후,요일 2:12-17,요한1서02:12-17,,,원문없음,,1973012802
7489,1973-03-04,주일오후,마 14:22-33,,,,원문없음,,1973030402
7490,1973-03-11,주일오후,창 32:24,,,,원문없음,,1973031102
7491,1973-03-18,주일오후,마 7:7-12,,,,원문없음,,1973031802
7492,1973-03-25,주일오후,마 12:30-37,,,,원문없음,,1973032502
7493,1973-04-15,주일오후,계 21:5-8,,,,원문없음,,1973041502
7494,1973-04-22,주일오후,,,,,원문없음,,1973042202
7495,1973-04-29,주일오후,요 5:1-8,,,,원문없음,,1973042902
7496,1973-05-13,주일오후,요일 1:3-13,,,,원문없음,,1973051302
7497,1973-05-20,주일오후,눅 5:1,,,,원문없음,,1973052002
7498,1973-05-27,주일오후,계 4:1,,,,원문없음,,1973052702
7499,1973-06-03,주일오후,눅 12:13-21,,,,원문없음,,1973060302
7500,1973-06-10,주일오후,고전 13:1-3,,,,원문없음,,1973061002
7501,1973-06-17,주일오후,눅 15:21-32,,,,원문없음,,1973061702
7502,1973-07-01,주일오후,약 1:2-4,,,,원문없음,,1973070102
7503,1973-08-12,주일오후,유 1:10-16,,,,원문없음,,1973081202
7504,1973-08-26,주일오후,창 3:1-21,,,,원문없음,,1973082602
7505,1973-09-02,주일오후,신 28:13,,,,원문없음,,1973090202
7506,1973-09-16,주일오후,히 11:4-40,,,,원문없음,,1973091602
7507,1973-09-23,주일오후,학 2:1-23,,,,원문없음,,1973092302
7508,1973-09-30,주일오후,마 13:3-9,,,,원문없음,,1973093002
7509,1973-10-07,주일오후,시 136:1-26,,,,원문없음,,1973100702
7510,1973-11-11,주일오후,출 25:,,,,원문없음,,1973111102
7511,1973-11-25,주일오후,레 23:4-44,,제목없음,,,,1973112502
7512,1973-12-02,주일오후,요 16:22,,,,원문없음,,1973120202
7513,1973-12-16,주일오후,출 20:8-17,,,,원문없음,,1973121602
7514,1973-12-23,주일오후,눅 2:1-7,,,,원문없음,,1973122302
7515,1974-01-13,주일오후,단 6:1,,,,원문없음,,1974011302
7516,1974-01-20,주일오후,학 2:18-19,,,,원문없음,,1974012002
7517,1974-01-27,주일오후,마 13:44,,,,원문없음,,1974012702
7518,1974-02-03,주일오후,사 26:1,,,,원문없음,,1974020302
7519,1974-02-10,주일오후,고전 3:18-23,,,,원문없음,,1974021002
7520,1974-02-17,주일오후,잠 1:1-6,,,,원문없음,,1974021702
7521,1974-02-17,주일오후,삿 34:16,,,,원문없음,,1974021702
7522,1974-02-24,주일오후,약 1:6,,,,원문없음,,1974022402
7523,1974-03-03,주일오후,눅 9:57-62,,,,원문없음,,1974030302
7524,1974-03-10,주일오후,빌 3:1-16,,,,원문없음,,1974031002
7525,1974-03-17,주일오후,마 10:16-23,,,,원문없음,,1974031702
7526,1974-04-28,주일오후,요일 1:4-1,,,,원문없음,,1974042802
7527,1974-08-18,주일오후,딤전 6:17-21,,,,원문없음,,1974081802
7528,1974-09-01,주일오후,롬 4:16,,믿음의 조상 아브라함,,,,1974090102
7529,1974-09-01,주일오후,출 20:8-11,,제목없음,,,,1974090102
7530,1974-09-08,주일오후,히 11:1-7,,,,원문없음,,1974090802
7531,1974-10-13,주일오후,계 1:5-7,,,,원문없음,,1974101302
7532,1974-10-20,주일오후,신 28:1,,,,원문없음,,1974102002
7533,1974-10-27,주일오후,,,,,원문없음,,1974102702
7534,1974-11-17,주일오후,창 3:12,,,,원문없음,,1974111702
7535,1974-11-24,주일오후,눅 16:8,,,,원문없음,,1974112402
7536,1974-12-01,주일오후,욜 1:3,,,,원문없음,,1974120102
7537,1974-12-08,주일오후,마 28:16-20,,,,원문없음,,1974120802
7538,1974-12-15,주일오후,마 5:13,,,,원문없음,,1974121502
7539,1975-01-12,주일오후,고전 10:1-13,,,,원문없음,,1975011202
7540,1975-01-19,주일오후,마 16:13-28,,,,원문없음,,1975011902
7541,1975-01-26,주일오후,빌 2:5-11,,,,원문없음,,1975012602
7542,1975-02-02,주일오후,빌 2:5-11,,,,원문없음,,1975020202
7543,1975-02-23,주일오후,요 5:1-18,,,,원문없음,,1975022302
7544,1975-03-02,주일오후,요 3:3-7,,,,원문없음,,1975030202
7545,1975-03-09,주일오후,눅 4:18-19,,,,원문없음,,1975030902
7546,1975-03-16,주일오후,고후 5:1,,,,원문없음,,1975031602
7547,1975-03-30,주일오후,삿 53:10-12,,,,원문없음,,1975033002
7548,1975-04-06,주일오후,빌 3:17-21,,,,원문없음,,1975040602
7549,1975-04-20,주일오후,마 14:22-33,,,,원문없음,,1975042002
7550,1975-04-27,주일오후,히 12:14-17,,,,원문없음,,1975042702
7551,1975-05-04,주일오후,고전 10:1-13,,,,원문없음,,1975050402
7552,1975-05-18,주일오후,사 34:16-17,,,,원문없음,,1975051802
7553,1975-05-25,주일오후,에 7:1-9,,,,원문없음,,1975052502
7554,1975-06-01,주일오후,약 2:22,,,,원문없음,,1975060102
7555,1975-06-15,주일오후,마 6:31-33,,,,원문없음,,1975061502
7556,1975-06-22,주일오후,사 3:1,,,,원문없음,,1975062202
7557,1975-06-29,주일오후,마 6:24-34,,,,원문없음,,1975062902
7558,1975-07-06,주일오후,마 24:35-51,,,,원문없음,,1975070602
7559,1975-08-17,주일오후,단 6:1,,,,원문없음,,1975081702
7560,1975-08-31,주일오후,마 24:32-44,,,,원문없음,,1975083102
7561,1975-09-07,주일오후,사 26:1-7,,,,원문없음,,1975090702
7562,1975-09-14,주일오후,롬 6:5,,,,원문없음,,1975091402
7563,1975-09-21,주일오후,골 1:10-17,,,,원문없음,,1975092102
7564,1975-09-28,주일오후,마 5:13,,,,원문없음,,1975092802
7565,1975-10-05,주일오후,요 3:16,,,,원문없음,,1975100502
7566,1975-10-12,주일오후,요 5:2-15,,,,원문없음,,1975101202
7567,1975-10-26,주일오후,마 16:28,,,,원문없음,,1975102602
7568,1975-11-02,주일오후,고전 15:31,,,,원문없음,,1975110202
7569,1975-11-09,주일오후,고전 15:40-44,,,,원문없음,,1975110902
7570,1975-11-30,주일오후,계 13:,,,,원문없음,,1975113002
7571,1975-12-07,주일오후,벧후 3:19-23,,,,원문없음,,1975120702
7572,1975-12-21,주일오후,눅 18:1-8,,,,원문없음,,1975122102
7573,1976-01-04,주일오후,유 1:8-16,,,,원문없음,,1976010402
7574,1976-01-11,주일오후,사 49:23,,,,원문없음,,1976011102
7575,1976-01-25,주일오후,눅 5:1-11,,,,원문없음,,1976012502
7576,1976-02-01,주일오후,말 3:10-15,,,,원문없음,,1976020102
7577,1976-02-08,주일오후,시 1:2,,,,원문없음,,1976020802
7578,1976-02-15,주일오후,요 15:1,,,,원문없음,,1976021502
7579,1976-03-26,주일오후,계 18:1-10,,제목없음,,,,1976032602
7580,1976-04-04,주일오후,눅 5:1-11,,,,원문없음,,1976040402
7581,1976-04-11,주일오후,요 5:8-18,,,,원문없음,,1976041102
7582,1976-04-18,주일오후,요 13:1,,,,원문없음,,1976041802
7583,1976-04-25,주일오후,약 1:12-18,,,,원문없음,,1976042502
7584,1976-05-16,주일오후,눅 10:,,,,원문없음,,1976051602
7585,1976-05-23,주일오후,사 1:18,,,,원문없음,,1976052302
7586,1976-06-06,주일오후,,,,,원문없음,,1976060602
7587,1976-06-13,주일오후,벧전 2:14-25,,,,원문없음,,1976061302
7588,1976-06-20,주일오후,사 9:13-17,,,,원문없음,,1976062002
7589,1976-06-27,주일오후,벧후 1:4-11,,,,원문없음,,1976062702
7590,1976-07-04,주일오후,눅 5:1,,,,원문없음,,1976070402
7591,1976-07-11,주일오후,요 5:5-16,,,,원문없음,,1976071102
7592,1976-07-18,주일오후,학 2:18-19,,,,원문없음,,1976071802
7593,1976-07-25,주일오후,마 25:1-13,,,,원문없음,,1976072502
7594,1976-08-01,주일오후,삼상 6:16,,,,원문없음,,1976080102
7595,1976-08-08,주일오후,마 13:1-9,,,,원문없음,,1976080802
7596,1976-09-19,주일오후,말 3:12-18,,,,원문없음,,1976091902
7597,1976-09-26,주일오후,고전 15:42-44,,,,원문없음,,1976092602
7598,1976-10-03,주일오후,욜 6:1-20,,,,원문없음,,1976100302
7599,1976-10-10,주일오후,마 24:34-51,,,,원문없음,,1976101002
7600,1976-10-17,주일오후,고전 15:50-58,,,,원문없음,,1976101702
7601,1976-10-24,주일오후,벧후 1:4-11,,,,원문없음,,1976102402
7602,1976-10-31,주일오후,딤후 3:16-17,,,,원문없음,,1976103102
7603,1976-11-28,주일오후,시 91:1-16,,,,원문없음,,1976112802
7604,1976-12-05,주일오후,마 10:16-22,,,,원문없음,,1976120502
7605,1976-12-19,주일오후,약 1:4-15,,,,원문없음,,1976121902
7606,1976-12-26,주일오후,요 5:5-18,,,,원문없음,,1976122602
7607,1977-01-02,주일오후,요 5:1-14,,제목없음,,,,1977010202
7608,1977-01-09,주일오후,막 10:23-30,,,,원문없음,,1977010902
7609,1977-01-16,주일오후,딤전 4:1,,,,원문없음,,1977011602
7610,1977-01-23,주일오후,딤전 4:1-5,,,,원문없음,,1977012302
7611,1977-01-30,주일오후,행 16:7,,,,원문없음,,1977013002
7612,1977-02-06,주일오후,창 12:1-3,,,,원문없음,,1977020602
7613,1977-02-13,주일오후,벧전 1:3-7,,,,원문없음,,1977021302
7614,1977-02-20,주일오후,마 6:19,,,,원문없음,,1977022002
7615,1977-02-27,주일오후,벧후 5:5-11,,,,원문없음,,1977022702
7616,1977-03-06,주일오후,계 9:1-11,,,,원문없음,,1977030602
7617,1977-03-13,주일오후,요 10:1-6,,,,원문없음,,1977031302
7618,1977-04-10,주일오후,욜 1:19,,,,원문없음,,1977041002
7619,1977-04-17,주일오후,고전 15:56-58,,,,원문없음,,1977041702
7620,1977-04-24,주일오후,벧전 1:24,,,,원문없음,,1977042402
7621,1977-05-08,주일오후,계 20:1,,,,원문없음,,1977050802
7622,1977-05-15,주일오후,고전 3:18,,,,원문없음,,1977051502
7623,1977-05-22,주일오후,마 13:31,,,,원문없음,,1977052202
7624,1977-05-29,주일오후,느 1:1-17,,,,원문없음,,1977052902
7625,1977-06-12,주일오후,롬 8:9-10,,,,원문없음,,1977061202
7626,1977-06-26,주일오후,엡 4:25-32,,,,원문없음,,1977062602
7627,1977-07-03,주일오후,시 1:1,,,,원문없음,,1977070302
7628,1977-07-10,주일오후,창 32:24-32,,,,원문없음,,1977071002
7629,1977-07-24,주일오후,약 1:2-11,,,,원문없음,,1977072402
7630,1977-07-31,주일오후,시 1:1-4,,,,원문없음,,1977073102
7631,1977-08-14,주일오후,딤전 6:17-19,,,,원문없음,,1977081402
7632,1977-08-21,주일오후,요 6:26-59,,,,원문없음,,1977082102
7633,1977-09-04,주일오후,엡 5:15-31,,,,원문없음,,1977090402
7634,1977-09-11,주일오후,요 5:6-18,,,,원문없음,,1977091102
